,Country,Player,Runs,MatchDate,Weekday,Ground,Versus,Balls,Centuries,Strike_Rate
0,Afghanistan,Mohammad Shahzad,118,16-02-2010,Tue,Sharjah CA Stadium,Canada,121,1,0.9752066115702479
1,Afghanistan,Mohammad Shahzad,110,01-09-2009,Tue,VRA Ground,Netherlands,111,1,0.990990990990991
2,Afghanistan,Mohammad Shahzad,100,16-08-2010,Mon,Cambusdoon New Ground,Scotland,72,1,1.3888888888888888
62,Afghanistan,Noor Ali Zadran,114,16-02-2010,Tue,Sharjah CA Stadium,Canada,127,1,0.8976377952755905
87,Afghanistan,Karim Sadiq ,114,16-08-2010,Mon,Cambusdoon New Ground,Scotland,108,1,1.0555555555555556
138,Australia,Ricky T Ponting,164,12-03-2006,Sun,The Wanderers Stadium,South Africa,105,1,1.561904761904762
139,Australia,Ricky T Ponting,145,11-04-1998,Sat,Feroz Shah Kotla,Zimbabwe,158,1,0.9177215189873418
140,Australia,Ricky T Ponting,141,05-03-2005,Sat,McLean Park,New Zealand,127,1,1.110236220472441
141,Australia,Ricky T Ponting,140,23-03-2003,Sun,The Wanderers Stadium,India,121,1,1.1570247933884297
142,Australia,Ricky T Ponting,134,20-12-2007,Thu,Bellerive Oval,New Zealand,133,1,1.0075187969924813
143,Australia,Ricky T Ponting,129,30-03-2002,Sat,OUTsurance Oval,South Africa,126,1,1.0238095238095237
144,Australia,Ricky T Ponting,126,15-09-2009,Tue,Trent Bridge,England,109,1,1.1559633027522935
145,Australia,Ricky T Ponting,124,10-11-1998,Tue,Gaddafi Stadium,Pakistan,129,1,0.9612403100775194
146,Australia,Ricky T Ponting,124,12-02-2006,Sun,Sydney Cricket Ground,Sri Lanka,127,1,0.9763779527559056
147,Australia,Ricky T Ponting,124,24-02-2008,Sun,Sydney Cricket Ground,India,133,1,0.9323308270676691
148,Australia,Ricky T Ponting,123,09-01-1996,Tue,Melbourne Cricket Ground,Sri Lanka,138,1,0.8913043478260869
149,Australia,Ricky T Ponting,119,15-12-2002,Sun,Melbourne Cricket Ground,England,123,1,0.967479674796748
150,Australia,Ricky T Ponting,115,12-01-2000,Wed,Melbourne Cricket Ground,India,121,1,0.9504132231404959
151,Australia,Ricky T Ponting,115,10-01-2005,Mon,Melbourne Cricket Ground,ACC Asian XI,102,1,1.1274509803921569
152,Australia,Ricky T Ponting,114,07-03-2003,Fri,Supersport Park,Sri Lanka,109,1,1.0458715596330275
153,Australia,Ricky T Ponting,113,14-03-2007,Wed,Warner Park,Scotland,93,1,1.2150537634408602
154,Australia,Ricky T Ponting,111,28-01-2007,Sun,W.A.C.A. Ground,New Zealand,122,1,0.9098360655737705
155,Australia,Ricky T Ponting,111,02-10-2009,Fri,Supersport Park,England,115,1,0.9652173913043478
156,Australia,Ricky T Ponting,111,10-07-2005,Sun,Lord's,England,115,1,0.9652173913043478
157,Australia,Ricky T Ponting,108,12-11-2003,Wed,M.Chinnaswamy Stadium,India,103,1,1.0485436893203883
158,Australia,Ricky T Ponting,107,14-12-2007,Fri,Adelaide Oval,New Zealand,108,1,0.9907407407407407
159,Australia,Ricky T Ponting,106,14-02-2010,Sun,Brisbane Cricket Ground,West Indies,112,1,0.9464285714285714
160,Australia,Ricky T Ponting,106,21-01-2003,Tue,Melbourne Cricket Ground,Sri Lanka,97,1,1.092783505154639
161,Australia,Ricky T Ponting,104,04-02-2007,Sun,Melbourne Cricket Ground,New Zealand,113,1,0.9203539823008849
162,Australia,Ricky T Ponting,104,24-03-2011,Thu,Sardar Patel Stadium,India,118,1,0.8813559322033898
163,Australia,Ricky T Ponting,102,10-06-2001,Sun,Royal & Sun Alliance County Ground,England,116,1,0.8793103448275862
164,Australia,Ricky T Ponting,102,04-03-1996,Mon,Sawai Mansingh Stadium,West Indies,112,1,0.9107142857142857
165,Australia,Ricky T Ponting,101,03-04-2001,Tue,Indira Priyadarshini Stadium,India,109,1,0.926605504587156
166,Australia,Ricky T Ponting,101,06-08-2003,Wed,Marrara Cricket Ground,Bangladesh,118,1,0.8559322033898306
167,Australia,Ricky T Ponting,100,21-01-1998,Wed,Melbourne Cricket Ground,New Zealand,114,1,0.8771929824561403
478,Australia,Adam C Gilchrist,172,16-01-2004,Fri,Bellerive Oval,Zimbabwe,126,1,1.3650793650793651
479,Australia,Adam C Gilchrist,154,07-02-1999,Sun,Melbourne Cricket Ground,Sri Lanka,129,1,1.193798449612403
480,Australia,Adam C Gilchrist,149,28-04-2007,Sat,Kensington Oval,Sri Lanka,104,1,1.4326923076923077
481,Australia,Adam C Gilchrist,131,13-01-1999,Wed,Sydney Cricket Ground,Sri Lanka,118,1,1.1101694915254237
482,Australia,Adam C Gilchrist,128,26-02-2000,Sat,AMI Stadium,New Zealand,98,1,1.3061224489795917
483,Australia,Adam C Gilchrist,124,15-12-2002,Sun,Melbourne Cricket Ground,England,104,1,1.1923076923076923
484,Australia,Adam C Gilchrist,122,14-02-2006,Tue,Brisbane Cricket Ground,Sri Lanka,91,1,1.3406593406593406
485,Australia,Adam C Gilchrist,121,12-07-2005,Tue,The Oval,England,101,1,1.198019801980198
486,Australia,Adam C Gilchrist,118,08-02-1998,Sun,AMI Stadium,New Zealand,117,1,1.0085470085470085
487,Australia,Adam C Gilchrist,118,15-02-2008,Fri,W.A.C.A. Ground,Sri Lanka,132,1,0.8939393939393939
488,Australia,Adam C Gilchrist,116,29-01-2006,Sun,W.A.C.A. Ground,Sri Lanka,105,1,1.1047619047619048
489,Australia,Adam C Gilchrist,111,12-11-2003,Wed,M.Chinnaswamy Stadium,India,104,1,1.0673076923076923
490,Australia,Adam C Gilchrist,105,03-04-2002,Wed,Kingsmead,South Africa,104,1,1.0096153846153846
491,Australia,Adam C Gilchrist,103,10-11-1998,Tue,Gaddafi Stadium,Pakistan,104,1,0.9903846153846154
492,Australia,Adam C Gilchrist,103,07-10-2005,Fri,Telstra Dome,ICC World XI,79,1,1.3037974683544304
493,Australia,Adam C Gilchrist,100,26-01-1998,Mon,Sydney Cricket Ground,South Africa,104,1,0.9615384615384616
738,Australia,Mark E Waugh,173,09-02-2001,Fri,Melbourne Cricket Ground,West Indies,148,1,1.1689189189189189
739,Australia,Mark E Waugh,133,28-03-2001,Wed,Nehru Stadium (Poona),India,138,1,0.9637681159420289
740,Australia,Mark E Waugh,130,23-02-1996,Fri,Indira Priyadarshini Stadium,Kenya,128,1,1.015625
741,Australia,Mark E Waugh,130,12-01-1996,Fri,W.A.C.A. Ground,Sri Lanka,144,1,0.9027777777777778
742,Australia,Mark E Waugh,126,27-02-1996,Tue,Wankhede Stadium,India,135,1,0.9333333333333333
743,Australia,Mark E Waugh,121,22-10-1994,Sat,Rawalpindi Cricket Stadium,Pakistan,134,1,0.9029850746268657
744,Australia,Mark E Waugh,116,26-01-2000,Wed,Adelaide Oval,India,131,1,0.8854961832061069
