userId,movieId,rating
michelle,Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd,5
joshua,Dark Shadows (includes Digital Copy) (ultraviolet) (dvdvideo),3
becca,"Coty Airspun Face Powder, Translucent Extra Coverage",5
hallee,L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz,4
dianemango,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
rdlawrence7,L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz,4
tammy,Chester's Cheese Flavored Puffcorn Snacks,5
frizzy head,Nexxus Exxtra Gel Style Creation Sculptor,1
klh392,L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz,4
kellpey,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
katie1234567,Clorox Disinfecting Bathroom Cleaner,5
tierrah,Vaseline Intensive Care Lip Therapy Cocoa Butter,5
jerry,Power Crunch Protein Energy Bar Peanut Butter Creme Original,3
dee2,Tostitos Bite Size Tortilla Chips,5
byamazon customer,"Aveeno Baby Continuous Protection Lotion Sunscreen with Broad Spectrum SPF 55, 4oz",5
gin96,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
yummy,Tostitos Simply Blue Corn Tortilla Chips,5
mom21,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
cber,Bumble Bee Solid White Albacore In Water - 5 Oz,1
kdawg,Mike Dave Need Wedding Dates (dvd + Digital),5
mustang,Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd,5
pbl1,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
kittykallie,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
oreo,Meguiar's Deep Crystal Car Wash 64-Oz.,5
aute8849,Clorox Disinfecting Bathroom Cleaner,5
happydad,Planes: Fire Rescue (2 Discs) (includes Digital Copy) (blu-Ray/dvd),5
kchey,Clorox Disinfecting Bathroom Cleaner,5
prtldy,Nexxus Exxtra Gel Style Creation Sculptor,5
ni2ki,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
scotty,Delta Single Handle Shower Faucet,5
jamiem,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
mere5683,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
prtldy,Nexxus Exxtra Gel Style Creation Sculptor,5
new england,Vaseline Intensive Care Lip Therapy Cocoa Butter,5
island girl,"Avery174 Ready Index Contemporary Table Of Contents Divider, 1-8, Multi, Letter",3
sharvey,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
the dustbusters,Hoover174 Platinum Collection153 Lightweight Bagged Upright Vacuum With Canister - Uh30010com,5
rosagoldie12,L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz,4
hollybygolly,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
michelle15,Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,5
pj54,Nexxus Exxtra Gel Style Creation Sculptor,1
cathy,Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd,5
