,Feature,Category,Target_Likelihood,Sample_Size,Coeff_of_Variation,Low_Contribution
79,incident_severity,Trivial Damage,0.07,90,1.12,False
78,incident_severity,Total Loss,0.13,280,1.12,False
77,incident_severity,Minor Damage,0.11,354,1.12,False
76,incident_severity,Major Damage,0.61,275,1.12,False
53,insured_hobbies,kayaking,0.09,53,0.74,False
45,insured_hobbies,bungie-jumping,0.16,56,0.74,False
46,insured_hobbies,camping,0.09,55,0.74,False
47,insured_hobbies,chess,0.83,46,0.74,False
48,insured_hobbies,cross-fit,0.74,35,0.74,False
49,insured_hobbies,dancing,0.12,43,0.74,False
50,insured_hobbies,exercise,0.19,57,0.74,False
51,insured_hobbies,golf,0.11,55,0.74,False
52,insured_hobbies,hiking,0.23,52,0.74,False
55,insured_hobbies,paintball,0.23,57,0.74,False
54,insured_hobbies,movies,0.16,55,0.74,False
43,insured_hobbies,basketball,0.18,34,0.74,False
56,insured_hobbies,polo,0.28,47,0.74,False
57,insured_hobbies,reading,0.27,64,0.74,False
58,insured_hobbies,skydiving,0.22,49,0.74,False
59,insured_hobbies,sleeping,0.2,41,0.74,False
60,insured_hobbies,video-games,0.2,50,0.74,False
61,insured_hobbies,yachting,0.3,53,0.74,False
44,insured_hobbies,board-games,0.29,48,0.74,False
42,insured_hobbies,base-jumping,0.27,49,0.74,False
69,incident_type,Parked Car,0.1,84,0.6,False
71,incident_type,Vehicle Theft,0.09,94,0.6,False
68,incident_type,Multi-vehicle Collision,0.27,419,0.6,False
70,incident_type,Single Vehicle Collision,0.29,402,0.6,False
84,authorities_contacted,Police,0.21,292,0.44,False
83,authorities_contacted,Other,0.32,198,0.44,False
80,authorities_contacted,Ambulance,0.29,195,0.44,False
81,authorities_contacted,Fire,0.27,223,0.44,False
82,authorities_contacted,No One,0.07,91,0.44,False
74,collision_type,Rear Collision,0.31,292,0.42,False
73,collision_type,No Collision,0.09,178,0.42,False
72,collision_type,Front Collision,0.28,254,0.42,False
75,collision_type,Side Collision,0.25,275,0.42,False
18,umbrella_limit,10000000,0.5,2,0.41,False
9,umbrella_limit,0,0.23,798,0.41,False
10,umbrella_limit,2000000,0.67,3,0.41,False
11,umbrella_limit,3000000,0.17,12,0.41,False
13,umbrella_limit,5000000,0.33,46,0.41,False
14,umbrella_limit,6000000,0.23,57,0.41,False
15,umbrella_limit,7000000,0.31,29,0.41,False
16,umbrella_limit,8000000,0.38,8,0.41,False
17,umbrella_limit,9000000,0.4,5,0.41,False
12,umbrella_limit,4000000,0.33,39,0.41,False
150,auto_model,Jetta,0.29,35,0.39,False
166,auto_model,Wrangler,0.12,42,0.39,False
133,auto_model,95,0.19,27,0.39,False
134,auto_model,A3,0.27,37,0.39,False
135,auto_model,A5,0.34,32,0.39,False
136,auto_model,Accord,0.23,13,0.39,False
137,auto_model,C300,0.39,18,0.39,False
138,auto_model,CRV,0.15,20,0.39,False
139,auto_model,Camry,0.14,28,0.39,False
140,auto_model,Civic,0.36,22,0.39,False
155,auto_model,Malibu,0.1,29,0.39,False
156,auto_model,Maxima,0.29,24,0.39,False
157,auto_model,Neon,0.16,37,0.39,False
168,auto_model,X6,0.44,16,0.39,False
141,auto_model,Corolla,0.15,20,0.39,False
142,auto_model,E400,0.26,27,0.39,False
143,auto_model,Escape,0.25,24,0.39,False
167,auto_model,X5,0.3,23,0.39,False
165,auto_model,Ultima,0.13,23,0.39,False
149,auto_model,Impreza,0.3,20,0.39,False
164,auto_model,Tahoe,0.38,24,0.39,False
148,auto_model,Highlander,0.27,22,0.39,False
147,auto_model,Grand Cherokee,0.24,25,0.39,False
146,auto_model,Fusion,0.29,21,0.39,False
161,auto_model,RSX,0.08,12,0.39,False
160,auto_model,RAM,0.33,43,0.39,False
144,auto_model,F150,0.37,27,0.39,False
130,auto_model,3 Series,0.06,18,0.39,False
131,auto_model,92x,0.29,28,0.39,False
132,auto_model,93,0.2,25,0.39,False
151,auto_model,Legacy,0.16,32,0.39,False
152,auto_model,M5,0.33,15,0.39,False
153,auto_model,MDX,0.22,36,0.39,False
154,auto_model,ML350,0.4,20,0.39,False
162,auto_model,Silverado,0.41,22,0.39,False
163,auto_model,TL,0.2,20,0.39,False
145,auto_model,Forrestor,0.29,28,0.39,False
158,auto_model,Passat,0.27,33,0.39,False
159,auto_model,Pathfinder,0.13,31,0.39,False
85,incident_state,NC,0.31,109,0.3,False
87,incident_state,OH,0.43,23,0.3,False
88,incident_state,PA,0.27,30,0.3,False
89,incident_state,SC,0.29,248,0.3,False
90,incident_state,VA,0.23,110,0.3,False
91,incident_state,WV,0.18,217,0.3,False
86,incident_state,NY,0.22,262,0.3,False
180,auto_year,2006,0.26,53,0.28,False
174,auto_year,2000,0.26,42,0.28,False
175,auto_year,2001,0.21,42,0.28,False
176,auto_year,2002,0.2,49,0.28,False
177,auto_year,2003,0.18,51,0.28,False
178,auto_year,2004,0.41,39,0.28,False
179,auto_year,2005,0.22,54,0.28,False
184,auto_year,2010,0.14,50,0.28,False
181,auto_year,2007,0.35,52,0.28,False
182,auto_year,2008,0.22,45,0.28,False
183,auto_year,2009,0.22,50,0.28,False
185,auto_year,2011,0.32,53,0.28,False
186,auto_year,2012,0.2,46,0.28,False
187,auto_year,2013,0.31,49,0.28,False
188,auto_year,2014,0.27,44,0.28,False
173,auto_year,1999,0.18,55,0.28,False
189,auto_year,2015,0.23,47,0.28,False
172,auto_year,1998,0.18,40,0.28,False
171,auto_year,1997,0.26,46,0.28,False
170,auto_year,1996,0.39,36,0.28,False
169,auto_year,1995,0.23,56,0.28,False
35,insured_occupation,other-service,0.17,71,0.24,False
32,insured_occupation,farming-fishing,0.3,53,0.24,False
38,insured_occupation,protective-serv,0.22,63,0.24,False
