,Feature,Category,Target_Likelihood,Sample_Size,Coeff_of_Variation,Low_Contribution
12,umbrella_limit,4000000,0.25,24,0.59,False
14,umbrella_limit,6000000,0.28,39,0.59,False
18,umbrella_limit,10000000,0.0,2,0.59,False
17,umbrella_limit,9000000,0.33,3,0.59,False
16,umbrella_limit,8000000,0.4,5,0.59,False
9,umbrella_limit,0,0.25,563,0.59,False
10,umbrella_limit,2000000,0.5,2,0.59,False
11,umbrella_limit,3000000,0.11,9,0.59,False
15,umbrella_limit,7000000,0.3,20,0.59,False
13,umbrella_limit,5000000,0.1,31,0.59,False
149,auto_model,Impreza,0.18,11,0.43,False
148,auto_model,Highlander,0.25,16,0.43,False
147,auto_model,Grand Cherokee,0.31,16,0.43,False
146,auto_model,Fusion,0.45,11,0.43,False
139,auto_model,Camry,0.47,17,0.43,False
151,auto_model,Legacy,0.3,23,0.43,False
145,auto_model,Forrestor,0.33,24,0.43,False
144,auto_model,F150,0.18,17,0.43,False
143,auto_model,Escape,0.25,16,0.43,False
142,auto_model,E400,0.12,17,0.43,False
141,auto_model,Corolla,0.2,15,0.43,False
166,auto_model,Wrangler,0.28,25,0.43,False
167,auto_model,X5,0.5,20,0.43,False
150,auto_model,Jetta,0.38,24,0.43,False
162,auto_model,Silverado,0.28,18,0.43,False
152,auto_model,M5,0.15,13,0.43,False
165,auto_model,Ultima,0.05,19,0.43,False
164,auto_model,Tahoe,0.29,17,0.43,False
163,auto_model,TL,0.29,14,0.43,False
140,auto_model,Civic,0.1,20,0.43,False
161,auto_model,RSX,0.11,9,0.43,False
160,auto_model,RAM,0.24,29,0.43,False
159,auto_model,Pathfinder,0.18,17,0.43,False
158,auto_model,Passat,0.19,21,0.43,False
157,auto_model,Neon,0.2,25,0.43,False
156,auto_model,Maxima,0.13,15,0.43,False
155,auto_model,Malibu,0.24,25,0.43,False
168,auto_model,X6,0.22,9,0.43,False
154,auto_model,ML350,0.23,13,0.43,False
153,auto_model,MDX,0.19,27,0.43,False
135,auto_model,A5,0.41,22,0.43,False
130,auto_model,3 Series,0.15,12,0.43,False
131,auto_model,92x,0.19,21,0.43,False
132,auto_model,93,0.24,17,0.43,False
138,auto_model,CRV,0.2,10,0.43,False
134,auto_model,A3,0.39,23,0.43,False
133,auto_model,95,0.21,24,0.43,False
137,auto_model,C300,0.25,16,0.43,False
136,auto_model,Accord,0.1,10,0.43,False
88,incident_state,PA,0.23,22,0.36,False
89,incident_state,SC,0.29,169,0.36,False
87,incident_state,OH,0.05,20,0.36,False
90,incident_state,VA,0.23,74,0.36,False
91,incident_state,WV,0.25,159,0.36,False
85,incident_state,NC,0.27,70,0.36,False
86,incident_state,NY,0.23,184,0.36,False
102,number_of_vehicles_involved,4,0.17,24,0.33,False
101,number_of_vehicles_involved,3,0.25,246,0.33,False
99,number_of_vehicles_involved,1,0.26,404,0.33,False
100,number_of_vehicles_involved,2,0.12,24,0.33,False
123,auto_make,Jeep,0.29,41,0.3,False
120,auto_make,Dodge,0.22,54,0.3,False
119,auto_make,Chevrolet,0.27,60,0.3,False
118,auto_make,BMW,0.29,54,0.3,False
117,auto_make,Audi,0.4,45,0.3,False
116,auto_make,Accura,0.2,50,0.3,False
129,auto_make,Volkswagen,0.29,45,0.3,False
124,auto_make,Mercedes,0.2,46,0.3,False
125,auto_make,Nissan,0.12,51,0.3,False
126,auto_make,Saab,0.21,62,0.3,False
127,auto_make,Suburu,0.29,58,0.3,False
128,auto_make,Toyota,0.31,48,0.3,False
122,auto_make,Honda,0.12,40,0.3,False
121,auto_make,Ford,0.27,44,0.3,False
61,insured_hobbies,yachting,0.26,39,0.26,False
60,insured_hobbies,video-games,0.29,35,0.26,False
50,insured_hobbies,exercise,0.19,37,0.26,False
59,insured_hobbies,sleeping,0.36,25,0.26,False
42,insured_hobbies,base-jumping,0.3,37,0.26,False
44,insured_hobbies,board-games,0.41,32,0.26,False
45,insured_hobbies,bungie-jumping,0.3,40,0.26,False
46,insured_hobbies,camping,0.17,42,0.26,False
47,insured_hobbies,chess,0.29,35,0.26,False
48,insured_hobbies,cross-fit,0.32,25,0.26,False
49,insured_hobbies,dancing,0.28,29,0.26,False
43,insured_hobbies,basketball,0.3,27,0.26,False
51,insured_hobbies,golf,0.23,35,0.26,False
56,insured_hobbies,polo,0.27,33,0.26,False
52,insured_hobbies,hiking,0.16,37,0.26,False
57,insured_hobbies,reading,0.19,37,0.26,False
58,insured_hobbies,skydiving,0.2,35,0.26,False
55,insured_hobbies,paintball,0.19,42,0.26,False
54,insured_hobbies,movies,0.18,33,0.26,False
53,insured_hobbies,kayaking,0.23,43,0.26,False
22,insured_education_level,College,0.19,84,0.25,False
24,insured_education_level,JD,0.34,105,0.25,False
25,insured_education_level,MD,0.19,102,0.25,False
26,insured_education_level,Masters,0.19,95,0.25,False
27,insured_education_level,PhD,0.3,90,0.25,False
21,insured_education_level,Associate,0.29,101,0.25,False
23,insured_education_level,High School,0.24,121,0.25,False
182,auto_year,2008,0.18,28,0.24,False
181,auto_year,2007,0.2,35,0.24,False
180,auto_year,2006,0.32,37,0.24,False
184,auto_year,2010,0.34,38,0.24,False
185,auto_year,2011,0.21,33,0.24,False
186,auto_year,2012,0.22,32,0.24,False
187,auto_year,2013,0.28,36,0.24,False
188,auto_year,2014,0.32,34,0.24,False
183,auto_year,2009,0.21,33,0.24,False
173,auto_year,1999,0.29,41,0.24,False
179,auto_year,2005,0.13,38,0.24,False
178,auto_year,2004,0.17,28,0.24,False
177,auto_year,2003,0.3,33,0.24,False
176,auto_year,2002,0.3,33,0.24,False
175,auto_year,2001,0.19,31,0.24,False
174,auto_year,2000,0.23,30,0.24,False
172,auto_year,1998,0.25,32,0.24,False
171,auto_year,1997,0.26,31,0.24,False
170,auto_year,1996,0.23,26,0.24,False
169,auto_year,1995,0.31,39,0.24,False
189,auto_year,2015,0.2,30,0.24,False
95,incident_city,Northbend,0.27,97,0.22,False
96,incident_city,Northbrook,0.3,84,0.22,False
92,incident_city,Arlington,0.2,108,0.22,False
93,incident_city,Columbus,0.2,107,0.22,False
94,incident_city,Hillsdale,0.17,98,0.22,False
98,incident_city,Springfield,0.3,113,0.22,False
97,incident_city,Riverwood,0.31,91,0.22,False
71,incident_type,Vehicle Theft,0.28,69,0.16,False
69,incident_type,Parked Car,0.19,57,0.16,False
68,incident_type,Multi-vehicle Collision,0.23,294,0.16,False
67,insured_relationship,wife,0.2,106,0.16,False
66,insured_relationship,unmarried,0.22,100,0.16,False
65,insured_relationship,own-child,0.31,126,0.16,False
64,insured_relationship,other-relative,0.23,121,0.16,False
63,insured_relationship,not-in-family,0.25,123,0.16,False
62,insured_relationship,husband,0.27,122,0.16,False
70,incident_type,Single Vehicle Collision,0.27,278,0.16,False
37,insured_occupation,prof-specialty,0.27,64,0.14,False
36,insured_occupation,priv-house-serv,0.26,50,0.14,False
35,insured_occupation,other-service,0.27,43,0.14,False
39,insured_occupation,sales,0.29,52,0.14,False
40,insured_occupation,tech-support,0.2,59,0.14,False
41,insured_occupation,transport-moving,0.26,54,0.14,False
34,insured_occupation,machine-op-inspct,0.22,65,0.14,False
33,insured_occupation,handlers-cleaners,0.26,35,0.14,False
32,insured_occupation,farming-fishing,0.24,38,0.14,False
31,insured_occupation,exec-managerial,0.27,56,0.14,False
30,insured_occupation,craft-repair,0.23,48,0.14,False
29,insured_occupation,armed-forces,0.18,49,0.14,False
28,insured_occupation,adm-clerical,0.31,48,0.14,False
38,insured_occupation,protective-serv,0.24,37,0.14,False
114,police_report_available,NO,0.27,244,0.1,False
2,policy_state,OH,0.22,257,0.1,True
115,police_report_available,YES,0.25,219,0.1,False
0,policy_state,IL,0.26,238,0.1,True
1,policy_state,IN,0.27,203,0.1,True
113,police_report_available,?,0.22,235,0.1,False
112,witnesses,3,0.24,174,0.1,True
111,witnesses,2,0.25,170,0.1,True
110,witnesses,1,0.28,179,0.1,True
109,witnesses,0,0.22,175,0.1,True
6,policy_deductable,500,0.27,249,0.09,True
7,policy_deductable,1000,0.23,239,0.09,True
8,policy_deductable,2000,0.24,210,0.09,True
108,bodily_injuries,2,0.24,234,0.09,True
107,bodily_injuries,1,0.23,239,0.09,True
106,bodily_injuries,0,0.27,225,0.09,True
78,incident_severity,Total Loss,0.26,199,0.08,True
79,incident_severity,Trivial Damage,0.28,58,0.08,True
76,incident_severity,Major Damage,0.26,189,0.08,True
77,incident_severity,Minor Damage,0.23,252,0.08,True
74,collision_type,Rear Collision,0.27,204,0.07,True
75,collision_type,Side Collision,0.24,195,0.07,True
72,collision_type,Front Collision,0.24,173,0.07,True
73,collision_type,No Collision,0.24,126,0.07,True
103,property_damage,?,0.26,250,0.06,True
20,insured_sex,MALE,0.24,326,0.06,True
19,insured_sex,FEMALE,0.26,372,0.06,True
105,property_damage,YES,0.23,206,0.06,True
104,property_damage,NO,0.25,242,0.06,True
81,authorities_contacted,Fire,0.27,145,0.05,True
80,authorities_contacted,Ambulance,0.23,133,0.05,True
82,authorities_contacted,No One,0.24,66,0.05,True
