,Unnamed: 0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
60,61,115,184,136,9,3,84.55,2,run out,2,v New Zealand,Vadodara,28-Oct-94
66,67,105,180,134,10,0,78.35,2,caught,1,v West Indies,Jaipur,11-Nov-94
73,74,127,175,138,15,1,92.02,2,not out,2,v Kenya,Cuttack,18-Feb-96
76,77,137,198,137,8,5,100,2,run out,1,v Sri Lanka,Delhi,2-Mar-96
82,83,110,-,138,5,1,79.71,2,run out,1,v Sri Lanka,Colombo (RPS),28-Aug-96
89,90,114,157,126,14,0,90.47,1,stumped,1,v South Africa,Mumbai,14-Dec-96
99,100,117,188,137,13,2,85.4,2,bowled,2,v New Zealand,Bengaluru,14-May-97
115,116,100,132,89,5,7,112.35,2,caught,2,v Australia,Kanpur,7-Apr-98
120,121,100,156,103,13,0,97.08,2,not out,2,v Kenya,Kolkata,31-May-98
123,124,128,182,131,8,2,97.7,2,stumped,1,v Sri Lanka,Colombo (RPS),7-Jul-98
124,125,127,155,130,13,1,97.69,2,not out,2,v Zimbabwe,Bulawayo,26-Sep-98
132,133,120,191,141,11,2,85.1,1,caught,1,v Sri Lanka,Colombo (SSC),29-Aug-99
134,135,186,221,150,20,3,124,2,not out,1,v New Zealand,Hyderabad (Deccan),8-Nov-99
145,146,122,195,138,12,0,88.4,2,caught,2,v South Africa,Vadodara,17-Mar-00
151,152,146,200,153,15,2,95.42,2,caught,1,v Zimbabwe,Jodhpur,8-Dec-00
156,157,139,197,125,19,0,111.2,2,caught,1,v Australia,Indore,31-Mar-01
161,162,101,209,129,9,0,78.29,2,caught,1,v South Africa,Johannesburg,5-Oct-01
180,181,100,158,119,9,1,84.03,2,caught,1,v Australia,Gwalior,26-Oct-03
184,185,102,124,91,12,1,112.08,2,caught,1,v New Zealand,Hyderabad (Deccan),15-Nov-03
192,193,141,173,135,17,1,104.44,2,caught,2,v Pakistan,Rawalpindi,16-Mar-04
205,206,123,192,130,12,2,94.61,2,bowled,1,v Pakistan,Ahmedabad,12-Apr-05
218,219,100,188,113,10,1,88.49,2,lbw,1,v Pakistan,Peshawar,6-Feb-06
232,233,100,110,76,10,1,131.57,4,not out,1,v West Indies,Vadodara,31-Jan-07
258,259,117,235,120,10,0,97.5,2,not out,2,v Australia,Sydney,2-Mar-08
266,267,163,206,133,16,5,122.55,2,retired notout,1,v New Zealand,Christchurch,8-Mar-09
268,269,138,214,133,10,1,103.75,2,lbw,1,v Sri Lanka,Colombo (RPS),14-Sep-09
273,274,175,210,141,19,4,124.11,2,caught,2,v Australia,Hyderabad (Deccan),5-Nov-09
280,281,200,226,147,25,3,136.05,2,not out,1,v South Africa,Gwalior,24-Feb-10
286,287,111,184,101,8,3,109.9,2,caught,1,v South Africa,Nagpur,12-Mar-11
294,295,114,205,147,12,1,77.55,2,caught,1,v Bangladesh,Dhaka,16-Mar-12
