,Feature,Category,Likelihood
0,policy_state,IL,0.24
1,policy_state,IN,0.26
2,policy_state,OH,0.25
3,policy_csl,100/300,0.24
4,policy_csl,250/500,0.24
5,policy_csl,500/1000,0.27
6,policy_deductable,500,0.26
7,policy_deductable,1000,0.22
8,policy_deductable,2000,0.27
9,umbrella_limit,0,0.25
10,umbrella_limit,2000000,0.0
11,umbrella_limit,3000000,0.38
12,umbrella_limit,4000000,0.17
13,umbrella_limit,5000000,0.14
14,umbrella_limit,6000000,0.31
15,umbrella_limit,7000000,0.38
16,umbrella_limit,8000000,0.33
17,umbrella_limit,9000000,0.5
18,umbrella_limit,10000000,0.5
19,insured_sex,FEMALE,0.24
20,insured_sex,MALE,0.26
21,insured_education_level,Associate,0.24
22,insured_education_level,College,0.32
23,insured_education_level,High School,0.27
24,insured_education_level,JD,0.23
25,insured_education_level,MD,0.23
26,insured_education_level,Masters,0.26
27,insured_education_level,PhD,0.2
28,insured_occupation,adm-clerical,0.19
29,insured_occupation,armed-forces,0.27
30,insured_occupation,craft-repair,0.29
31,insured_occupation,exec-managerial,0.25
32,insured_occupation,farming-fishing,0.18
33,insured_occupation,handlers-cleaners,0.19
34,insured_occupation,machine-op-inspct,0.28
35,insured_occupation,other-service,0.18
36,insured_occupation,priv-house-serv,0.22
37,insured_occupation,prof-specialty,0.3
38,insured_occupation,protective-serv,0.2
39,insured_occupation,sales,0.28
40,insured_occupation,tech-support,0.18
41,insured_occupation,transport-moving,0.41
42,insured_hobbies,base-jumping,0.43
43,insured_hobbies,basketball,0.2
44,insured_hobbies,board-games,0.19
45,insured_hobbies,bungie-jumping,0.29
46,insured_hobbies,camping,0.29
47,insured_hobbies,chess,0.22
48,insured_hobbies,cross-fit,0.27
49,insured_hobbies,dancing,0.31
50,insured_hobbies,exercise,0.18
51,insured_hobbies,golf,0.15
52,insured_hobbies,hiking,0.22
53,insured_hobbies,kayaking,0.24
54,insured_hobbies,movies,0.32
55,insured_hobbies,paintball,0.23
56,insured_hobbies,polo,0.19
57,insured_hobbies,reading,0.19
58,insured_hobbies,skydiving,0.36
59,insured_hobbies,sleeping,0.29
60,insured_hobbies,video-games,0.17
61,insured_hobbies,yachting,0.27
62,insured_relationship,husband,0.25
63,insured_relationship,not-in-family,0.24
64,insured_relationship,other-relative,0.26
65,insured_relationship,own-child,0.22
66,insured_relationship,unmarried,0.27
67,insured_relationship,wife,0.26
68,incident_type,Multi-vehicle Collision,0.23
69,incident_type,Parked Car,0.26
70,incident_type,Single Vehicle Collision,0.26
71,incident_type,Vehicle Theft,0.27
72,collision_type,Front Collision,0.22
73,collision_type,No Collision,0.27
74,collision_type,Rear Collision,0.24
75,collision_type,Side Collision,0.28
76,incident_severity,Major Damage,0.26
77,incident_severity,Minor Damage,0.24
78,incident_severity,Total Loss,0.24
79,incident_severity,Trivial Damage,0.28
80,authorities_contacted,Ambulance,0.29
81,authorities_contacted,Fire,0.27
82,authorities_contacted,No One,0.28
83,authorities_contacted,Other,0.22
84,authorities_contacted,Police,0.22
85,incident_state,NC,0.26
86,incident_state,NY,0.3
87,incident_state,OH,0.17
88,incident_state,PA,0.14
89,incident_state,SC,0.25
90,incident_state,VA,0.23
91,incident_state,WV,0.22
92,incident_city,Arlington,0.27
93,incident_city,Columbus,0.28
94,incident_city,Hillsdale,0.2
95,incident_city,Northbend,0.27
96,incident_city,Northbrook,0.23
97,incident_city,Riverwood,0.19
98,incident_city,Springfield,0.29
99,number_of_vehicles_involved,1,0.26
100,number_of_vehicles_involved,2,0.24
101,number_of_vehicles_involved,3,0.23
102,number_of_vehicles_involved,4,0.24
103,property_damage,?,0.28
104,property_damage,NO,0.21
105,property_damage,YES,0.26
106,bodily_injuries,0,0.26
107,bodily_injuries,1,0.25
108,bodily_injuries,2,0.24
109,witnesses,0,0.33
110,witnesses,1,0.21
111,witnesses,2,0.23
112,witnesses,3,0.22
113,police_report_available,?,0.25
114,police_report_available,NO,0.26
115,police_report_available,YES,0.24
116,auto_make,Accura,0.33
117,auto_make,Audi,0.2
118,auto_make,BMW,0.23
119,auto_make,Chevrolet,0.18
120,auto_make,Dodge,0.26
121,auto_make,Ford,0.24
122,auto_make,Honda,0.31
123,auto_make,Jeep,0.32
124,auto_make,Mercedes,0.22
125,auto_make,Nissan,0.21
126,auto_make,Saab,0.2
127,auto_make,Suburu,0.33
128,auto_make,Toyota,0.26
129,auto_make,Volkswagen,0.21
130,auto_model,3 Series,0.36
131,auto_model,92x,0.16
132,auto_model,93,0.12
133,auto_model,95,0.33
134,auto_model,A3,0.22
135,auto_model,A5,0.19
136,auto_model,Accord,0.3
137,auto_model,C300,0.25
138,auto_model,CRV,0.23
139,auto_model,Camry,0.25
140,auto_model,Civic,0.38
141,auto_model,Corolla,0.31
142,auto_model,E400,0.17
143,auto_model,Escape,0.2
144,auto_model,F150,0.14
145,auto_model,Forrestor,0.47
146,auto_model,Fusion,0.44
147,auto_model,Grand Cherokee,0.29
148,auto_model,Highlander,0.24
149,auto_model,Impreza,0.36
150,auto_model,Jetta,0.19
151,auto_model,Legacy,0.21
152,auto_model,M5,0.15
153,auto_model,MDX,0.33
154,auto_model,ML350,0.29
155,auto_model,Malibu,0.2
156,auto_model,Maxima,0.25
157,auto_model,Neon,0.29
158,auto_model,Passat,0.23
159,auto_model,Pathfinder,0.18
160,auto_model,RAM,0.23
161,auto_model,RSX,0.5
162,auto_model,Silverado,0.28
163,auto_model,TL,0.24
164,auto_model,Tahoe,0.06
165,auto_model,Ultima,0.21
166,auto_model,Wrangler,0.33
167,auto_model,X5,0.21
168,auto_model,X6,0.17
169,auto_year,1995,0.27
170,auto_year,1996,0.2
171,auto_year,1997,0.29
172,auto_year,1998,0.18
173,auto_year,1999,0.23
174,auto_year,2000,0.15
175,auto_year,2001,0.3
176,auto_year,2002,0.31
177,auto_year,2003,0.24
178,auto_year,2004,0.41
179,auto_year,2005,0.32
180,auto_year,2006,0.28
181,auto_year,2007,0.28
182,auto_year,2008,0.19
183,auto_year,2009,0.38
184,auto_year,2010,0.21
185,auto_year,2011,0.24
186,auto_year,2012,0.2
187,auto_year,2013,0.19
188,auto_year,2014,0.18
189,auto_year,2015,0.17
