,Feature,Category,Likelihood
0,policy_state,IL,0.3
1,policy_state,IN,0.19
2,policy_state,OH,0.26
3,policy_csl,100/300,0.26
4,policy_csl,250/500,0.28
5,policy_csl,500/1000,0.21
6,policy_deductable,500,0.24
7,policy_deductable,1000,0.25
8,policy_deductable,2000,0.26
9,umbrella_limit,0,0.24
10,umbrella_limit,2000000,0.0
11,umbrella_limit,3000000,0.11
12,umbrella_limit,4000000,0.33
13,umbrella_limit,5000000,0.26
14,umbrella_limit,6000000,0.36
15,umbrella_limit,7000000,0.19
16,umbrella_limit,8000000,0.4
17,umbrella_limit,9000000,0.4
18,umbrella_limit,10000000,0.5
19,insured_sex,FEMALE,0.25
20,insured_sex,MALE,0.25
21,insured_education_level,Associate,0.26
22,insured_education_level,College,0.26
23,insured_education_level,High School,0.27
24,insured_education_level,JD,0.23
25,insured_education_level,MD,0.34
26,insured_education_level,Masters,0.21
27,insured_education_level,PhD,0.16
28,insured_occupation,adm-clerical,0.22
29,insured_occupation,armed-forces,0.24
30,insured_occupation,craft-repair,0.29
31,insured_occupation,exec-managerial,0.23
32,insured_occupation,farming-fishing,0.19
33,insured_occupation,handlers-cleaners,0.29
34,insured_occupation,machine-op-inspct,0.17
35,insured_occupation,other-service,0.21
36,insured_occupation,priv-house-serv,0.34
37,insured_occupation,prof-specialty,0.25
38,insured_occupation,protective-serv,0.23
39,insured_occupation,sales,0.32
40,insured_occupation,tech-support,0.26
41,insured_occupation,transport-moving,0.23
42,insured_hobbies,base-jumping,0.19
43,insured_hobbies,basketball,0.31
44,insured_hobbies,board-games,0.19
45,insured_hobbies,bungie-jumping,0.26
46,insured_hobbies,camping,0.2
47,insured_hobbies,chess,0.19
48,insured_hobbies,cross-fit,0.32
49,insured_hobbies,dancing,0.2
50,insured_hobbies,exercise,0.18
51,insured_hobbies,golf,0.16
52,insured_hobbies,hiking,0.28
53,insured_hobbies,kayaking,0.28
54,insured_hobbies,movies,0.39
55,insured_hobbies,paintball,0.27
56,insured_hobbies,polo,0.23
57,insured_hobbies,reading,0.28
58,insured_hobbies,skydiving,0.2
59,insured_hobbies,sleeping,0.35
60,insured_hobbies,video-games,0.36
61,insured_hobbies,yachting,0.19
62,insured_relationship,husband,0.28
63,insured_relationship,not-in-family,0.24
64,insured_relationship,other-relative,0.25
65,insured_relationship,own-child,0.22
66,insured_relationship,unmarried,0.25
67,insured_relationship,wife,0.26
68,incident_type,Multi-vehicle Collision,0.3
69,incident_type,Parked Car,0.23
70,incident_type,Single Vehicle Collision,0.21
71,incident_type,Vehicle Theft,0.22
72,collision_type,Front Collision,0.28
73,collision_type,No Collision,0.22
74,collision_type,Rear Collision,0.27
75,collision_type,Side Collision,0.22
76,incident_severity,Major Damage,0.26
77,incident_severity,Minor Damage,0.24
78,incident_severity,Total Loss,0.23
79,incident_severity,Trivial Damage,0.28
80,authorities_contacted,Ambulance,0.25
81,authorities_contacted,Fire,0.24
82,authorities_contacted,No One,0.23
83,authorities_contacted,Other,0.28
84,authorities_contacted,Police,0.24
85,incident_state,NC,0.21
86,incident_state,NY,0.23
87,incident_state,OH,0.11
88,incident_state,PA,0.32
89,incident_state,SC,0.28
90,incident_state,VA,0.23
91,incident_state,WV,0.28
92,incident_city,Arlington,0.21
93,incident_city,Columbus,0.31
94,incident_city,Hillsdale,0.18
95,incident_city,Northbend,0.28
96,incident_city,Northbrook,0.26
97,incident_city,Riverwood,0.22
98,incident_city,Springfield,0.26
99,number_of_vehicles_involved,1,0.21
100,number_of_vehicles_involved,2,0.25
101,number_of_vehicles_involved,3,0.31
102,number_of_vehicles_involved,4,0.15
103,property_damage,?,0.24
104,property_damage,NO,0.28
105,property_damage,YES,0.22
106,bodily_injuries,0,0.25
107,bodily_injuries,1,0.25
108,bodily_injuries,2,0.25
109,witnesses,0,0.21
110,witnesses,1,0.24
111,witnesses,2,0.28
112,witnesses,3,0.26
113,police_report_available,?,0.24
114,police_report_available,NO,0.28
115,police_report_available,YES,0.23
116,auto_make,Accura,0.31
117,auto_make,Audi,0.27
118,auto_make,BMW,0.31
119,auto_make,Chevrolet,0.22
120,auto_make,Dodge,0.2
121,auto_make,Ford,0.22
122,auto_make,Honda,0.27
123,auto_make,Jeep,0.31
124,auto_make,Mercedes,0.27
125,auto_make,Nissan,0.23
126,auto_make,Saab,0.34
127,auto_make,Suburu,0.17
128,auto_make,Toyota,0.26
129,auto_make,Volkswagen,0.12
130,auto_model,3 Series,0.31
131,auto_model,92x,0.5
132,auto_model,93,0.32
133,auto_model,95,0.22
134,auto_model,A3,0.21
135,auto_model,A5,0.33
136,auto_model,Accord,0.33
137,auto_model,C300,0.18
138,auto_model,CRV,0.18
139,auto_model,Camry,0.29
140,auto_model,Civic,0.29
141,auto_model,Corolla,0.2
142,auto_model,E400,0.37
143,auto_model,Escape,0.15
144,auto_model,F150,0.26
145,auto_model,Forrestor,0.24
146,auto_model,Fusion,0.21
147,auto_model,Grand Cherokee,0.2
148,auto_model,Highlander,0.29
149,auto_model,Impreza,0.15
150,auto_model,Jetta,0.11
151,auto_model,Legacy,0.1
152,auto_model,M5,0.1
153,auto_model,MDX,0.42
154,auto_model,ML350,0.21
155,auto_model,Malibu,0.24
156,auto_model,Maxima,0.4
157,auto_model,Neon,0.23
158,auto_model,Passat,0.14
159,auto_model,Pathfinder,0.14
160,auto_model,RAM,0.17
161,auto_model,RSX,0.14
162,auto_model,Silverado,0.24
163,auto_model,TL,0.2
164,auto_model,Tahoe,0.19
165,auto_model,Ultima,0.21
166,auto_model,Wrangler,0.39
167,auto_model,X5,0.38
168,auto_model,X6,0.42
169,auto_year,1995,0.34
170,auto_year,1996,0.15
171,auto_year,1997,0.24
172,auto_year,1998,0.33
173,auto_year,1999,0.14
174,auto_year,2000,0.23
175,auto_year,2001,0.24
176,auto_year,2002,0.22
177,auto_year,2003,0.27
178,auto_year,2004,0.21
179,auto_year,2005,0.23
180,auto_year,2006,0.21
181,auto_year,2007,0.34
182,auto_year,2008,0.21
183,auto_year,2009,0.22
184,auto_year,2010,0.35
185,auto_year,2011,0.27
186,auto_year,2012,0.25
187,auto_year,2013,0.24
188,auto_year,2014,0.24
189,auto_year,2015,0.27
