State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,Nicobar,2022-01-01,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-03,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-04,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-05,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-06,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-07,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-08,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-10,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-11,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-12,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-13,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-14,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-15,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-09,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-16,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-17,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-19,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-18,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-21,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-22,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-23,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-24,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-25,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-26,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-20,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-27,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-28,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-29,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-30,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-01,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-03,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-04,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-05,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-06,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-07,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-08,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-10,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-11,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-12,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-13,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-14,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-15,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-09,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-16,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-17,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-19,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-18,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-21,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-22,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-23,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-24,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-25,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-26,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-20,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-27,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-28,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-29,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-30,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-01,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-03,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-04,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-05,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-06,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-07,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-08,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-10,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-11,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-12,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-13,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-14,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-15,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-09,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-16,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-17,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-19,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-18,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-21,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-22,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-23,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-24,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-25,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-26,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-20,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-27,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-28,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-29,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-30,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-01,2022,01,0.00092193,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-03,2022,01,0.002314045,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-04,2022,01,0.009019552,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-05,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-06,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-07,2022,01,0.007791848,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-08,2022,01,0.0000277,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-09,2022,01,0.003311267,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-10,2022,01,0.00000307,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-11,2022,01,0.021520928,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-12,2022,01,0.005947987,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-13,2022,01,0.286076526,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-14,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-15,2022,01,0.587315734,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-16,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-17,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-18,2022,01,0.020897088,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-19,2022,01,0.00043638,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-20,2022,01,0.002973225,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-21,2022,01,0.0000599,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-22,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-23,2022,01,0.000063,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-24,2022,01,0.000116778,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-25,2022,01,0.007043548,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-26,2022,01,0.002168073,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-27,2022,01,0.78271119,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-28,2022,01,0.037613222,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-29,2022,01,0.007782629,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-30,2022,01,0.008400322,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-01,2022,01,0.042516986,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-03,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-04,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-05,2022,01,0.0000359,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-06,2022,01,0.000197614,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-07,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-08,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-09,2022,01,0.000299415,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-10,2022,01,0.000495033,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-11,2022,01,0.000143719,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-12,2022,01,0.000024,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-13,2022,01,0.144629611,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-14,2022,01,0.397024811,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-15,2022,01,2.148465133,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-16,2022,01,0.588409134,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-17,2022,01,0.895176173,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-18,2022,01,0.217062187,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-19,2022,01,0.001261537,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-20,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-21,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-22,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-23,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-24,2022,01,0.239228907,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-25,2022,01,0.499370981,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-26,2022,01,0.194767717,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-27,2022,01,0.545830269,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-28,2022,01,0.309651407,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-29,2022,01,0.007417517,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-30,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-01,2022,01,0.031319891,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-03,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-04,2022,01,0.000195182,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-05,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-06,2022,01,0.0000363,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-07,2022,01,0.0000272,NRSC VIC MODEL
